logz logzerr logvol nlive logl logwt insert_order
-1.502828176611570088e+00 8.626892185133068491e-02 -2.516716349287479448e-01 3.110000000000000000e+02 7.659447529776296668e-10 -5.991464546342037067e+00 nan
-1.491654876013426279e+00 8.246025310158315580e-02 -2.548922496287901462e-01 3.100000000000000000e+02 7.659457719771900722e-10 -5.991464546342037067e+00 nan
-1.480605039826823122e+00 8.177319022006458715e-02 -2.581232702102366217e-01 3.090000000000000000e+02 7.659633314956808485e-10 -5.991464546342019304e+00 nan
-1.469675969294614859e+00 8.265491325102947151e-02 -2.613647641344076233e-01 3.080000000000000000e+02 7.660234678039535097e-10 -5.991464546341958020e+00 nan
-1.458865053190381067e+00 8.023814100832037111e-02 -2.646167995207849288e-01 3.070000000000000000e+02 7.660235662194043956e-10 -5.991464546341958020e+00 nan
-1.448169764073615307e+00 7.654284402848227087e-02 -2.678794451556013034e-01 3.060000000000000000e+02 7.660257720099100944e-10 -5.991464546341956243e+00 nan
-1.437587654743060828e+00 7.699635818575573110e-02 -2.711527705005704614e-01 3.050000000000000000e+02 7.660544132874563151e-10 -5.991464546341927822e+00 nan
-1.427116354875747950e+00 7.671695296314960666e-02 -2.744368457017604124e-01 3.040000000000000000e+02 7.661084059891467978e-10 -5.991464546341874531e+00 nan
-1.416753567840183692e+00 7.967260849926487143e-02 -2.777317415986129689e-01 3.030000000000000000e+02 7.661125162803175861e-10 -5.991464546341869202e+00 nan
-1.406497067672977330e+00 8.304966204285736675e-02 -2.810375297331124678e-01 3.020000000000000000e+02 7.661178498017433924e-10 -5.991464546341864761e+00 nan
-1.396344696208942304e+00 8.158142986649215278e-02 -2.843542823591063695e-01 3.010000000000000000e+02 7.661273487158840967e-10 -5.991464546341854103e+00 nan
-1.386294360355424082e+00 7.947640778265575856e-02 -2.876820724517810124e-01 3.000000000000000000e+02 7.661474983521952312e-10 -5.991464546341834563e+00 nan
-1.376344029502239330e+00 7.590246200047887082e-02 -2.910209737172956279e-01 2.990000000000000000e+02 7.661708090775849895e-10 -5.991464546341811470e+00 nan
-1.366491733059211233e+00 7.529931409667633968e-02 -2.943710606025776166e-01 2.980000000000000000e+02 7.661888470616904380e-10 -5.991464546341793707e+00 nan
-1.356735558113830065e+00 7.394470591185663133e-02 -2.977324083052824699e-01 2.970000000000000000e+02 7.661938789024789109e-10 -5.991464546341788378e+00 nan
-1.347073647202077007e+00 7.664235567682047001e-02 -3.011050927839217239e-01 2.960000000000000000e+02 7.662178296745762055e-10 -5.991464546341763509e+00 nan
-1.337504196185910210e+00 7.710068017563506682e-02 -3.044891907681622767e-01 2.950000000000000000e+02 7.663009402365210057e-10 -5.991464546341681796e+00 nan
