weight logl A B
2.499999999902345529e-03 4.240935804427299446e-13 8.754710478993976697e-01 2.699183678620705740e-01
2.499999999902354202e-03 4.278116756519329580e-13 4.172017451751841577e-01 5.514838675170610216e-01
2.499999999902354202e-03 4.282406629037800872e-13 8.638141377179439084e-01 2.963151893419699867e-01
2.499999999902356371e-03 4.287121580127277223e-13 9.196154694740863444e-01 1.526796143764541647e-01
2.499999999902512062e-03 4.906860302157513348e-13 7.421144000250713413e-01 4.670987987263826025e-01
2.499999999902578415e-03 5.179447413143085498e-13 9.512519296151378256e-01 2.905002484490559755e-02
2.499999999902705050e-03 5.685632639062869300e-13 9.417658387498858419e-01 3.957586741679863795e-02
2.499999999902729770e-03 5.782287575186814385e-13 9.534552507890752260e-01 1.499644418928358647e-03
2.499999999902751888e-03 5.863595367436895134e-13 7.858325266171264367e-01 4.015631240780255240e-01
2.499999999902751888e-03 5.867998543505932853e-13 4.446968736410691347e-01 5.311330975337911209e-01
2.499999999902758393e-03 5.897347934244662536e-13 7.976496369592498414e-01 3.834243455522726718e-01
2.499999999902774005e-03 5.954966107067369549e-13 9.655277220110836112e-04 5.350154501237217586e-01
2.499999999902789618e-03 6.025449842642508203e-13 8.006942762968204397e-01 3.759552495985938325e-01
2.499999999902800460e-03 6.054335475700368980e-13 6.491541835497967039e-01 5.000549147764968838e-01
2.499999999902820843e-03 6.137459525391313289e-13 2.402099580256306099e-01 5.325345630832071242e-01
2.499999999902855971e-03 6.291577043251321411e-13 5.888688437911693274e-02 5.316408482487101628e-01
2.499999999902876354e-03 6.355063725186651724e-13 2.549827930199631831e-01 5.303121873471807746e-01
2.499999999902931865e-03 6.584839102577501176e-13 8.735052464871231326e-01 2.057464879415970005e-01
2.499999999903022505e-03 6.952794695368518603e-13 2.961635591769791187e-01 5.244256041750837705e-01
2.499999999903049393e-03 7.051096750440204335e-13 4.920868034128673685e-01 5.167884993904989788e-01
2.499999999903144803e-03 7.441956339561512643e-13 7.061466139752811122e-01 4.563571231742402645e-01
2.499999999903260162e-03 7.900605011944493638e-13 2.613780295793146635e-01 5.169510487525300624e-01
2.499999999903400241e-03 8.462175160389094683e-13 1.081679297090543113e-02 5.136386720104892945e-01
2.499999999903411083e-03 8.503630482100607900e-13 8.849336679210927370e-01 1.303815625137159095e-01
2.499999999903453583e-03 8.675678360020661530e-13 4.996148465622959334e-01 5.027929398894221968e-01
2.499999999903595397e-03 9.240888854516260701e-13 4.592064344849632329e-01 5.017070359611918162e-01
2.499999999903622285e-03 9.346182905604363244e-13 2.591650213672951342e-01 5.065834360137949632e-01
2.499999999903624454e-03 9.361745246859729018e-13 6.726554384841021417e-02 5.073446766393787666e-01
2.499999999903704251e-03 9.670455794337764098e-13 5.724689747580460342e-01 4.859327129362182029e-01
2.499999999903844330e-03 1.023037546958696247e-12 5.552872587338806287e-01 4.850178126471234030e-01
2.499999999903953184e-03 1.067103606958250204e-12 4.469351203174508624e-01 4.931625343680143825e-01
2.499999999904010863e-03 1.089443079688361170e-12 9.054967983465075365e-01 2.277454708280057805e-02
2.499999999904168289e-03 1.153976803854418374e-12 7.351559458557214155e-01 3.886469321950695166e-01
2.499999999904266301e-03 1.191672832823612493e-12 1.637726347888193157e-01 4.920535666134165931e-01
2.499999999904308368e-03 1.209395344419696626e-12 7.799922305152957591e-01 3.203781108972028058e-01
2.499999999904357374e-03 1.228995348012321799e-12 8.235964518191105643e-01 2.279480831159351739e-01
2.499999999904501356e-03 1.285849576884447870e-12 6.823089982165077005e-01 4.230413803426856800e-01
2.499999999904639267e-03 1.340764630592291935e-12 4.831232380287565631e-01 4.755093809087768131e-01
2.499999999904637098e-03 1.341498033120430417e-12 2.687571669518051820e-01 4.837840985149830519e-01
2.499999999904665721e-03 1.352861840911464708e-12 7.513051774154431151e-01 3.503994730112067746e-01
2.499999999904745952e-03 1.384227901819985613e-12 8.960207263471223760e-01 3.462830421268159320e-03
