weight logl A B
2.500000000001008794e-03 7.673591807109810640e-10 2.295372550663317740e+07 5.981101650794471614e+06
2.500000000001010962e-03 7.673614367669411347e-10 1.458242938403715938e+07 6.019053062217920087e+06
2.500000000001033080e-03 7.673693575504666925e-10 4.788168790368832648e+06 6.095254812057938427e+06
2.500000000001099867e-03 7.673968185091125734e-10 6.468758540299655870e+06 6.260273725616797805e+06
2.500000000001108540e-03 7.674007951984172427e-10 3.719243156861958094e+06 6.293792301652863622e+06
2.500000000001110709e-03 7.674008851600833023e-10 1.889427643817170290e+06 6.299774764122374356e+06
2.500000000001126321e-03 7.674073219417557133e-10 1.956262131308508338e+06 6.341139463143991306e+06
2.500000000001135429e-03 7.674110741734240270e-10 5.975046336394092068e+06 6.353753356448325329e+06
2.500000000001153209e-03 7.674183665926494971e-10 3.543302448705695570e+07 6.315317300002714619e+06
2.500000000001157546e-03 7.674187787522571551e-10 5.867808266791688278e+06 6.404935369880900718e+06
2.500000000001286349e-03 7.674716029590585550e-10 1.253663132469695760e+06 6.790436859415191226e+06
2.500000000001373086e-03 7.675059582581014190e-10 1.270818233720302023e+07 7.022494166117766872e+06
2.500000000001375254e-03 7.675060641858481196e-10 9.713143921842765063e+06 7.032174589396718889e+06
2.500000000001375254e-03 7.675071831548187974e-10 1.516709287255891971e+07 7.025114653528968804e+06
2.500000000001430765e-03 7.675293586809308303e-10 2.127792240993736312e+06 7.247033018385934643e+06
2.500000000001441607e-03 7.675328035644796634e-10 4.286493120767067187e+06 7.270012353353666142e+06
2.500000000001446378e-03 7.675352201898171935e-10 4.153349616428961977e+06 7.291141709673194215e+06
2.500000000001468495e-03 7.675438267471056437e-10 3.045500592399341520e+06 7.369232336103214882e+06
2.500000000001481940e-03 7.675488094252849138e-10 2.441608530403655954e+06 7.415036313471032307e+06
2.500000000001494950e-03 7.675539315350201901e-10 1.073707031324107200e+06 7.464881171256938949e+06
2.500000000001524007e-03 7.675661334691562956e-10 5.407524422360663116e+07 7.420679358749636449e+06
2.500000000001543956e-03 7.675735107677506733e-10 9.236091338660575449e+07 7.378531723921108991e+06
2.500000000001554798e-03 7.675789094205210563e-10 5.254452124480596744e+06 7.684230658708069474e+06
2.500000000001659315e-03 7.676196342159303967e-10 1.447577680017348193e+07 8.067260697934678756e+06
2.500000000001692708e-03 7.676337425965702750e-10 4.027162976705656201e+07 8.143969339185061865e+06
2.500000000001719163e-03 7.676449203345724773e-10 1.452033846495041857e+06 8.383151202378406189e+06
2.500000000001730439e-03 7.676482896026764735e-10 2.818904655145948753e+06 8.417520628915367648e+06
2.500000000001734776e-03 7.676509467642232208e-10 1.094819543667384982e+07 8.424061503318462521e+06
2.500000000001734776e-03 7.676510331186034327e-10 3.800507502222914249e+06 8.446156673509091139e+06
2.500000000001799394e-03 7.676754537526888731e-10 4.329419204592492431e+06 8.736062350397096947e+06
2.500000000001852737e-03 7.676965859316120958e-10 7.583315908741216175e+06 8.995378996413616464e+06
2.500000000001874854e-03 7.677066522930790710e-10 1.324202650123978732e+06 9.147869724434766918e+06
2.500000000001881360e-03 7.677097275528445420e-10 1.766151451248738915e+07 9.141393133830638602e+06
2.500000000001926029e-03 7.677263048238265311e-10 8.528740723050590605e+06 9.400014260527249426e+06
2.500000000001941208e-03 7.677324533429732596e-10 2.937972847923595924e+06 9.505456316903777421e+06
2.500000000001945978e-03 7.677354195777059400e-10 3.407359503495163284e+06 9.547574658662058413e+06
2.500000000001954652e-03 7.677384119432624579e-10 4.390147370119044185e+07 9.472696357043342665e+06
2.500000000001990214e-03 7.677517370786193032e-10 1.036671339373324253e+07 9.773646832995839417e+06
2.500000000001998887e-03 7.677562734771806501e-10 5.754269931853637844e+07 9.705909099066233262e+06
2.500000000002003658e-03 7.677585690695891940e-10 5.904171889542584121e+07 9.737761935350358486e+06
2.500000000002021439e-03 7.677650479229381089e-10 5.688620604097904265e+07 9.847781101327445358e+06
2.500000000002030112e-03 7.677688739341258545e-10 1.116073261032506824e+06 1.007405440608349442e+07
2.500000000002043556e-03 7.677739194988445767e-10 1.468270836208547279e+07 1.011732516609436460e+07
2.500000000002076950e-03 7.677877873257946366e-10 1.022547171137998067e+07 1.036675725875570066e+07
2.500000000002079118e-03 7.677883081438192287e-10 2.144145659615315963e+06 1.039971364960634708e+07
2.500000000002116848e-03 7.678034693331503844e-10 5.962364452832140028e+07 1.050239145546707883e+07
2.500000000002170191e-03 7.678245268661825724e-10 4.383510069761684537e+07 1.095040893267653324e+07
2.500000000002178865e-03 7.678284672951405241e-10 1.149874234091314720e+06 1.115470167084467784e+07
2.500000000002181033e-03 7.678287444472563229e-10 2.327171567441027146e+06 1.115678947066414170e+07
2.500000000002216595e-03 7.678439256559268437e-10 1.595131159762793221e+06 1.147266413631538115e+07
2.500000000002220932e-03 7.678455718571066103e-10 8.502753384032458067e+07 1.126281351818945445e+07
2.500000000002245652e-03 7.678544370102362427e-10 1.698072866865978763e+07 1.165498227346971259e+07
2.500000000002256494e-03 7.678593204308617794e-10 1.439013091514402535e+06 1.180977765659847111e+07
2.500000000002261264e-03 7.678610998147619105e-10 2.812718754357446358e+07 1.177123924180277251e+07
2.500000000002272106e-03 7.678654945315210360e-10 3.120348752370455116e+07 1.186262342187402770e+07
2.500000000002325449e-03 7.678873978424454945e-10 3.242542941616089642e+07 1.238610021900841780e+07
2.500000000002338893e-03 7.678919326480495080e-10 1.658291512204740196e+07 1.254775492578292638e+07
2.500000000002341061e-03 7.678924597224167161e-10 1.509576459026557393e+06 1.260576699244209751e+07
2.500000000002370118e-03 7.679046247622965518e-10 1.302583737201601267e+07 1.289162955153631046e+07
2.500000000002374455e-03 7.679065672542320773e-10 1.286923242934348993e+06 1.297889031613635831e+07
2.500000000002376623e-03 7.679074246522783904e-10 3.841796566322255880e+06 1.299468578996230848e+07
2.500000000002429966e-03 7.679278962327919195e-10 2.958108361335347965e+07 1.350225317444259860e+07
2.500000000002429966e-03 7.679289792424324881e-10 1.277181460808846634e+06 1.361809586172495596e+07
2.500000000002434303e-03 7.679306999265021799e-10 9.319261526276336610e+07 1.339977993318874203e+07
2.500000000002465528e-03 7.679434712767744586e-10 1.060229138858011365e+07 1.403844739729307778e+07
2.500000000002498488e-03 7.679550922654696983e-10 4.545331602038472891e+06 1.443735898936751857e+07
2.500000000002529713e-03 7.679689767932142134e-10 2.657896825983623974e+06 1.492612833185382560e+07
2.500000000002531881e-03 7.679697782211315887e-10 3.198126007507163286e+07 1.486848897780809365e+07
2.500000000002556601e-03 7.679789153771096712e-10 6.452235575938102789e+06 1.528110940710653737e+07
2.500000000002563106e-03 7.679824887670065402e-10 2.280935434836462513e+07 1.536892037786155380e+07
2.500000000002567443e-03 7.679829644649657692e-10 3.626588995690201968e+07 1.534757384780260175e+07
2.500000000002578718e-03 7.679877095688576305e-10 6.141710046961423941e+06 1.562136037101420760e+07
2.500000000002594331e-03 7.679945486534034760e-10 1.499476057783636451e+07 1.586969324406828731e+07
2.500000000002622954e-03 7.680048080000905446e-10 7.996965698497748375e+07 1.610892251147625595e+07
2.500000000002678465e-03 7.680270904182032308e-10 1.953786714203316718e+06 1.735822127697895467e+07
2.500000000002694078e-03 7.680341905499525148e-10 3.695478160092720762e+06 1.770526298024618998e+07
2.500000000002723134e-03 7.680454086327874675e-10 2.075276928940204205e+06 1.829658456608055532e+07
2.500000000002738313e-03 7.680518879086425583e-10 1.325777756214814261e+06 1.865560148532064632e+07
2.500000000002758696e-03 7.680601292959427328e-10 8.713279053880443797e+06 1.910821248458904400e+07
2.500000000002758696e-03 7.680606978330814251e-10 1.906894581472127466e+06 1.916194963301583007e+07
2.500000000002782982e-03 7.680694583276437598e-10 2.106634099727970362e+07 1.963876644505992904e+07
2.500000000002800763e-03 7.680775128301485984e-10 1.716445845215804875e+06 2.021322463559248298e+07
2.500000000002827218e-03 7.680865297221429309e-10 2.245671273344514426e+06 2.082397204491768777e+07
2.500000000002827218e-03 7.680870225464956194e-10 1.601738761851697229e+06 2.086041273497563601e+07
2.500000000002831554e-03 7.680895366322671052e-10 5.213694813959929161e+06 2.102771823517547920e+07
2.500000000002836325e-03 7.680904349955890138e-10 2.207887337608741224e+07 2.104224557856185734e+07
2.500000000002836325e-03 7.680904469544038272e-10 2.482064165303761512e+07 2.103501422133710980e+07
2.500000000002856274e-03 7.680980621408762980e-10 1.278246425001260825e+06 2.166618723454991356e+07
2.500000000002856274e-03 7.680985600670162715e-10 7.095573394027544558e+07 2.149856459062696621e+07
2.500000000002862779e-03 7.681024259223979026e-10 1.419288393930618186e+06 2.200128660145214200e+07
2.500000000002867116e-03 7.681030204551154718e-10 5.084886812782125175e+07 2.190196663936483115e+07
2.500000000002869718e-03 7.681043502378785386e-10 4.207070693231198937e+07 2.203257895659937337e+07
2.500000000002869718e-03 7.681047374227524205e-10 5.018755694107856601e+06 2.217261252501781285e+07
2.500000000002871887e-03 7.681049192045526843e-10 1.568594913104444277e+06 2.219725007425745577e+07
2.500000000002871887e-03 7.681050047931794398e-10 8.507374315958766267e+06 2.218354474866577238e+07
2.500000000002874055e-03 7.681060779384889580e-10 2.609562613737159409e+06 2.228664818771292269e+07
2.500000000002876224e-03 7.681077590452304973e-10 7.299337466550515033e+06 2.240832878493862227e+07
2.500000000002904847e-03 7.681193223933546660e-10 2.110354562445397303e+07 2.334647402228008956e+07
2.500000000002920459e-03 7.681248070944204135e-10 2.692374115385843441e+07 2.382411700660378113e+07
2.500000000002927398e-03 7.681269034316832183e-10 6.311517785043792799e+06 2.407968745811524242e+07
2.500000000002933903e-03 7.681293653469622292e-10 1.011553853573702648e+07 2.430118607622035593e+07
2.500000000002938240e-03 7.681309411039320466e-10 1.614783470244714804e+07 2.443470622963463888e+07
2.500000000002965128e-03 7.681416103069255038e-10 3.946807178009152878e+06 2.554715763485917449e+07
2.500000000002965128e-03 7.681423292759694663e-10 4.461230885234948993e+07 2.550307163396241888e+07
2.500000000002975970e-03 7.681467223927766191e-10 2.305677782714639604e+07 2.604071154531600699e+07
2.500000000002978139e-03 7.681468881033700647e-10 7.345358895912905037e+07 2.591043207870955393e+07
2.500000000003000690e-03 7.681567412568892749e-10 1.505996561979807913e+07 2.721392485117512196e+07
2.500000000003013700e-03 7.681627899698014791e-10 3.448137624793597031e+06 2.799263300182376057e+07
2.500000000003040589e-03 7.681727229786093130e-10 3.740788217378154397e+06 2.930651967422113195e+07
2.500000000003042757e-03 7.681739769177838922e-10 6.732041462240331806e+06 2.947247857443979010e+07
2.500000000003047094e-03 7.681746379983828075e-10 9.205438779053506255e+07 2.931396938027277589e+07
2.500000000003049262e-03 7.681764557094097963e-10 2.680573825386900455e+06 2.983620937058420852e+07
2.500000000003051431e-03 7.681776207197620849e-10 1.731722528639407083e+07 2.996118994014286250e+07
2.500000000003060538e-03 7.681799030147087504e-10 7.050524460533800721e+07 3.013947681942451000e+07
2.500000000003060538e-03 7.681811250349781338e-10 2.781115094570188317e+06 3.052182496280089021e+07
2.500000000003062706e-03 7.681822734925132021e-10 2.298186643822706770e+06 3.069681655056215823e+07
2.500000000003064875e-03 7.681824224730593637e-10 2.820464056070828345e+06 3.071793212778948247e+07
2.500000000003067043e-03 7.681829575873390233e-10 1.987872961185500259e+06 3.080206067973005399e+07
2.500000000003071380e-03 7.681845563219826353e-10 5.960242506563610584e+07 3.087860664140713587e+07
2.500000000003073982e-03 7.681859155313546784e-10 7.672271156775139272e+07 3.104096607278664410e+07
