########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
1.102222222222e+03 1.945715525274e-09, 1.688441373687e-09 1.685017540376e-08
1.105777777778e+03 1.810949873590e-09, 1.527592221778e-09 1.736301717664e-08
1.109333333333e+03 2.117988296713e-09, 2.072390729067e-09 2.308432460362e-08
1.112888888889e+03 2.843709829653e-09, 2.347095007578e-09 2.257645089306e-08
1.116444444444e+03 2.068557849356e-09, 2.117045503195e-09 2.210791692538e-08
1.120000000000e+03 2.388975147890e-09, 1.818187848898e-09 2.651462300128e-08
1.123555555556e+03 2.259757349031e-09, 1.755674469703e-09 2.452040986930e-08
1.127111111111e+03 1.889373498199e-09, 1.802674952992e-09 2.490006382505e-08
1.130666666667e+03 1.845737399310e-09, 1.825197890696e-09 2.115433889125e-08
1.134222222222e+03 2.039479292067e-09, 1.545611024860e-09 2.075013090899e-08
1.137777777778e+03 1.962883636927e-09, 1.653940604406e-09 2.037729163532e-08
1.141333333333e+03 2.315340749958e-09, 2.328072761456e-09 1.924327715364e-08
1.144888888889e+03 2.466845449119e-09, 2.016103920790e-09 2.172261796346e-08
1.148444444444e+03 2.404043030997e-09, 2.105828756495e-09 2.106605098865e-08
1.152000000000e+03 3.220694070486e-09, 2.467756947915e-09 2.142554779459e-08
1.155555555556e+03 1.929856793079e-09, 2.028516961106e-09 1.745949069640e-08
1.159111111111e+03 2.000339669968e-09, 2.049237284857e-09 2.327207603725e-08
1.162666666667e+03 1.684983210288e-09, 1.682750463013e-09 1.977180305621e-08
1.166222222222e+03 1.898844869485e-09, 1.411107337011e-09 1.655783460371e-08
1.169777777778e+03 2.459603475447e-09, 1.551129392958e-09 1.782499965299e-08
1.173333333333e+03 1.997310486822e-09, 1.868120668580e-09 1.600330167975e-08
1.176888888889e+03 2.005944938995e-09, 1.906794276909e-09 1.911956865925e-08
1.180444444444e+03 2.136811363769e-09, 1.926502886862e-09 1.809046057966e-08
1.184000000000e+03 2.049213325879e-09, 1.476687708283e-09 1.737692949145e-08
1.187555555556e+03 2.027084745683e-09, 1.997799016367e-09 2.071768349878e-08
1.191111111111e+03 1.701772301705e-09, 2.035852932124e-09 2.098067832082e-08
1.194666666667e+03 1.433737385499e-09, 1.492542250342e-09 1.825213000064e-08
