########################################################
# Number of Frequencies: 18432
# Measurement Time [s]: 0.281250
########################################################
9.813333333333e+02 1.266392353968e-08, 9.331384803226e-09 1.466753697646e-07
9.848888888889e+02 7.733608009628e-09, 8.203983408152e-09 2.517341646474e-07
9.884444444444e+02 9.596596328398e-09, 8.200184951493e-09 2.014336656318e-07
9.920000000000e+02 1.126076538386e-08, 1.231626271884e-08 1.751590271525e-07
9.955555555556e+02 1.048225214668e-08, 8.288564205917e-09 2.331113206340e-07
9.991111111111e+02 8.557301519848e-09, 7.729947445033e-09 2.129388648548e-07
1.002666666667e+03 1.195038258034e-08, 1.110505568335e-08 2.801015742747e-07
1.006222222222e+03 8.547423173794e-09, 8.876073048433e-09 1.181804638260e-07
1.009777777778e+03 6.776988476144e-09, 1.053024886401e-08 2.200761825870e-07
1.013333333333e+03 8.604350142108e-09, 9.621984500882e-09 1.226182096117e-07
1.016888888889e+03 1.033455014762e-08, 8.568609081489e-09 1.726365250465e-07
1.020444444444e+03 1.006981898817e-08, 9.639605538942e-09 1.828227162770e-07
1.024000000000e+03 9.168224335234e-09, 7.176214634259e-09 1.816131425659e-07
1.027555555556e+03 9.756236737881e-09, 9.721624422344e-09 1.576602327562e-07
1.031111111111e+03 8.526830807824e-09, 7.441865108825e-09 1.857725052638e-07
1.034666666667e+03 7.848129182968e-09, 9.160439723745e-09 1.687794762687e-07
1.038222222222e+03 9.603664496409e-09, 8.977117704229e-09 1.218164689249e-07
1.041777777778e+03 6.806613171738e-09, 7.140419256228e-09 2.221939892510e-07
1.045333333333e+03 8.738138302765e-09, 8.728524416208e-09 1.409670008297e-07
1.048888888889e+03 9.101138368836e-09, 1.039769372820e-08 1.700539764250e-07
1.052444444444e+03 5.928477973237e-09, 6.428036890950e-09 1.339268702419e-07
1.056000000000e+03 7.896015016343e-09, 6.338079579585e-09 1.802240676577e-07
1.059555555556e+03 8.231631114383e-09, 8.305661305079e-09 1.930507966424e-07
1.063111111111e+03 4.641147050657e-09, 7.832596368262e-09 2.300193454241e-07
1.066666666667e+03 8.191240729270e-09, 6.645173248523e-09 1.448433358609e-07
1.070222222222e+03 6.020248433815e-09, 8.482904661541e-09 1.691849162046e-07
1.073777777778e+03 5.975808310572e-09, 7.660997013464e-09 1.364147144280e-07
1.077333333333e+03 9.046948829985e-09, 7.746831905768e-09 2.003337602530e-07
1.080888888889e+03 9.137420487516e-09, 1.265406227391e-08 1.427966688711e-07
1.084444444444e+03 8.051001171374e-09, 1.088982635798e-08 1.582821094475e-07
1.088000000000e+03 7.702904564162e-09, 8.367175802059e-09 1.821499681882e-07
