logz logzerr logvol nlive logl logwt insert_order
-1.437587655507408746e+00 7.422493781649391886e-02 -2.711527705005704614e-01 3.050000000000000000e+02 4.486812784064309679e-14 -5.991464547107937300e+00 nan
-1.427116355640113188e+00 7.188290644683716091e-02 -2.744368457017604124e-01 3.040000000000000000e+02 4.576372731206971062e-14 -5.991464547107936411e+00 nan
-1.416753568604566471e+00 7.463463752927471107e-02 -2.777317415986129689e-01 3.030000000000000000e+02 4.577977447985130719e-14 -5.991464547107935523e+00 nan
-1.406497068437377207e+00 7.296032751826178608e-02 -2.810375297331124678e-01 3.020000000000000000e+02 4.628449576418688023e-14 -5.991464547107936411e+00 nan
-1.396344696973359056e+00 6.858500075221511671e-02 -2.843542823591063695e-01 3.010000000000000000e+02 4.662371758735980470e-14 -5.991464547107935523e+00 nan
-1.386294361119857488e+00 6.749671617401988011e-02 -2.876820724517810124e-01 3.000000000000000000e+02 4.702596951985792546e-14 -5.991464547107934635e+00 nan
-1.376344030266689167e+00 6.588884998668941007e-02 -2.910209737172956279e-01 2.990000000000000000e+02 4.721948935822473180e-14 -5.991464547107935523e+00 nan
-1.366491733823677501e+00 6.768852235779254656e-02 -2.943710606025776166e-01 2.980000000000000000e+02 4.746603616141160583e-14 -5.991464547107935523e+00 nan
-1.356735558878312764e+00 7.200177465296964119e-02 -2.977324083052824699e-01 2.970000000000000000e+02 4.763112144083037523e-14 -5.991464547107934635e+00 nan
-1.347073647966575694e+00 7.104937189693190380e-02 -3.011050927839217239e-01 2.960000000000000000e+02 4.812357408306120432e-14 -5.991464547107933747e+00 nan
-1.337504196950424884e+00 7.310671876242076650e-02 -3.044891907681622767e-01 2.950000000000000000e+02 4.826580009706379134e-14 -5.991464547107934635e+00 nan
-1.328025452995881039e+00 6.958613732557529519e-02 -3.078847797693005095e-01 2.940000000000000000e+02 4.850127912341197337e-14 -5.991464547107932859e+00 nan
-1.318635712646041958e+00 7.028326683082487814e-02 -3.112919380909148215e-01 2.930000000000000000e+02 4.885736600444006937e-14 -5.991464547107933747e+00 nan
-1.309333319983728261e+00 6.872210318971376519e-02 -3.147107448397004070e-01 2.920000000000000000e+02 4.920746139042312964e-14 -5.991464547107933747e+00 nan
-1.300116664878804063e+00 6.617790731803387116e-02 -3.181412799364896626e-01 2.910000000000000000e+02 4.937441427321315430e-14 -5.991464547107932859e+00 nan
-1.290984181315531387e+00 6.188138956420096565e-02 -3.215836241274624419e-01 2.900000000000000000e+02 4.957208206615978991e-14 -5.991464547107931971e+00 nan
-1.281934345795613384e+00 6.155420948234296280e-02 -3.250378589955499886e-01 2.890000000000000000e+02 4.969956894238278050e-14 -5.991464547107932859e+00 nan
-1.272965675812852915e+00 6.411991289059840171e-02 -3.285040669720362128e-01 2.880000000000000000e+02 4.970979711505063206e-14 -5.991464547107932859e+00 nan
-1.264076728395606697e+00 6.401084554441999197e-02 -3.319823313483610261e-01 2.870000000000000000e+02 4.999138941177884751e-14 -5.991464547107932859e+00 nan
-1.255266098713451628e+00 6.456647363374187765e-02 -3.354727362881295694e-01 2.860000000000000000e+02 5.011532480319238867e-14 -5.991464547107931971e+00 nan
-1.246532418744696891e+00 6.503642619449982731e-02 -3.389753668393316599e-01 2.850000000000000000e+02 5.014545181471144615e-14 -5.991464547107932859e+00 nan
-1.237874356001582132e+00 6.679124150543705452e-02 -3.424903089467761230e-01 2.840000000000000000e+02 5.032699714716043329e-14 -5.991464547107931971e+00 nan
-1.229290612310190545e+00 6.562928249149331539e-02 -3.460176494647445589e-01 2.830000000000000000e+02 5.107264030003398876e-14 -5.991464547107931082e+00 nan
-1.220779922642281745e+00 6.456943703166985460e-02 -3.495574761698685973e-01 2.820000000000000000e+02 5.140589279277729672e-14 -5.991464547107931082e+00 nan
-1.212341053996417006e+00 6.308663532184050071e-02 -3.531098777742364137e-01 2.810000000000000000e+02 5.227424603711151962e-14 -5.991464547107929306e+00 nan
-1.203972804325900370e+00 6.387210130923175189e-02 -3.566749439387325582e-01 2.800000000000000000e+02 5.240674918299448681e-14 -5.991464547107929306e+00 nan
-1.195674001511205065e+00 6.408638345555385529e-02 -3.602527652866165386e-01 2.790000000000000000e+02 5.256307073978617280e-14 -5.991464547107929306e+00 nan
-1.187443502374689430e+00 6.242268210463091521e-02 -3.638434334173450968e-01 2.780000000000000000e+02 5.260526066498758321e-14 -5.991464547107929306e+00 nan
