weight logl A B
2.499999999901408344e-03 4.970979711505063206e-14 3.552710353686741655e+03 1.151817602009818256e+04
2.499999999901408344e-03 4.999138941177884751e-14 3.314200455319727917e+04 5.111173002212266147e+04
2.499999999901410513e-03 5.011532480319238867e-14 3.458681829742706614e+05 5.110826215356104512e+04
2.499999999901408344e-03 5.014545181471144615e-14 3.040847337109603905e+04 5.152006973992734129e+04
2.499999999901410513e-03 5.032699714716043329e-14 2.052804099470227357e+03 5.203381166577343538e+04
2.499999999901412681e-03 5.107264030003398876e-14 4.194180482405178482e+05 5.364099966181347554e+04
2.499999999901412681e-03 5.140589279277729672e-14 6.022426462906441884e+03 5.504561750597286300e+04
2.499999999901417452e-03 5.227424603711151962e-14 5.003268889467401430e+06 5.217619712690783490e+04
2.499999999901417452e-03 5.240674918299448681e-14 4.959039336205109721e+05 5.753564975638853502e+04
2.499999999901417452e-03 5.256307073978617280e-14 2.468980794027072378e+06 5.583779312810970441e+04
2.499999999901417452e-03 5.260526066498758321e-14 5.664352895240440557e+04 5.865650812443814357e+04
2.499999999901417452e-03 5.330856122602233374e-14 1.099299936868748162e+06 5.980142935183036025e+04
2.499999999901419620e-03 5.335688988404213981e-14 5.643233980295345827e+04 6.114761645541252074e+04
2.499999999901417452e-03 5.358591813625159328e-14 1.607928045360212855e+05 6.182022359989138204e+04
2.499999999901419620e-03 5.401727202582412404e-14 2.637503186643275694e+04 6.350936817354819505e+04
2.499999999901419620e-03 5.439675909938739604e-14 8.675944261795500061e+05 6.393785390416667360e+04
2.499999999901419620e-03 5.454079547993403458e-14 4.774607380986177363e+06 6.002406387081290450e+04
2.499999999901421788e-03 5.495198759778374006e-14 5.835975908357088920e+05 6.640063648562764865e+04
2.499999999901423957e-03 5.558277964798151752e-14 1.250711638115874230e+05 6.950926663545996416e+04
2.499999999901426125e-03 5.564697942669260062e-14 3.819697209974261350e+05 9.731206149799561899e+03
2.499999999901426125e-03 5.604119381183909184e-14 2.504941125633398537e+06 6.867044516642522649e+04
2.499999999901423957e-03 5.617233376874138496e-14 4.031676919811465195e+05 7.173124330620071851e+04
2.499999999901423957e-03 5.632283471610211295e-14 4.536553528202997521e+06 6.754806821229043999e+04
2.499999999901426125e-03 5.634207676475209300e-14 1.245971530242437075e+04 1.073149050969070959e+04
2.499999999901426125e-03 5.636129601542098047e-14 2.197056559760341421e+06 7.045185713464826404e+04
2.499999999901426125e-03 5.662162909474794354e-14 7.080431288676244549e+03 7.425651160093533690e+04
2.499999999901428294e-03 5.663431654846781268e-14 7.116044547252236225e+04 7.423877668025670573e+04
2.499999999901426125e-03 5.673478759744781834e-14 4.385634233591452241e+06 6.959922074935148703e+04
2.499999999901428294e-03 5.691121726926480447e-14 3.553174958938574884e+06 7.140358131135765871e+04
2.499999999901428294e-03 5.721709632739709219e-14 5.162073214832314261e+04 7.707642483247286873e+04
2.499999999901430462e-03 5.739891153228392175e-14 2.640400223735227482e+05 7.773286819421792461e+04
2.499999999901428294e-03 5.760640774645872612e-14 4.715437333830723073e+05 7.854591635585343465e+04
2.499999999901430462e-03 5.776663655416204048e-14 6.704101857481182087e+05 7.914295947381254518e+04
2.499999999901430462e-03 5.779591190869811730e-14 2.362687199918875936e+06 4.699296076572526545e+03
2.499999999901428294e-03 5.807458581161917648e-14 3.255152956476461986e+04 8.157983186462394951e+04
2.499999999901428294e-03 5.811758810213189159e-14 3.093316300279220100e+06 7.809865027806205035e+04
2.499999999901430462e-03 5.831692167267887529e-14 3.155630270585200051e+05 8.257820148372226686e+04
2.499999999901433064e-03 5.836921085279680532e-14 3.304622133339102380e+06 7.923812433555215830e+04
2.499999999901435233e-03 5.932658620814120921e-14 3.389560401138293673e+04 8.896955827466461051e+04
2.499999999901435233e-03 5.935111571325577125e-14 2.581198498166327830e+06 8.597578402978676604e+04
2.499999999901433064e-03 5.952723825508169999e-14 1.027529745355198509e+06 8.902298243554470537e+04
2.499999999901433064e-03 5.985147058639129007e-14 2.859462762680246669e+04 9.242699245983883156e+04
2.499999999901435233e-03 5.987095996468565600e-14 1.085864935894667724e+05 9.245909550415640115e+04
2.499999999901433064e-03 5.988643320574160356e-14 2.818082327868304856e+04 9.266563988672694541e+04
2.499999999901435233e-03 6.000986040129623216e-14 4.174443755985815544e+06 2.155501551710611238e+03
2.499999999901437401e-03 6.015113925115490143e-14 2.124041556390765254e+04 9.451263530596804048e+04
2.499999999901435233e-03 6.024217047691838547e-14 4.667684411805481795e+04 9.512751114363344095e+04
2.499999999901437401e-03 6.029974741276625021e-14 2.894054764664629147e+03 9.559603534761443734e+04
2.499999999901437401e-03 6.033241300582250779e-14 1.249417844680461712e+03 9.583397127343264583e+04
2.499999999901435233e-03 6.041376102766670522e-14 2.162895097575360069e+03 9.642464439781905094e+04
2.499999999901435233e-03 6.078486726464597905e-14 1.033077372965447837e+06 9.790337880776793463e+04
2.499999999901437401e-03 6.084452059689516613e-14 1.223088086066111646e+04 9.965598103918779816e+04
2.499999999901439569e-03 6.200957274918912224e-14 8.746637671823166311e+06 9.858834913334777229e+04
2.499999999901453013e-03 6.740182039630513556e-14 2.842802699511512183e+06 3.460777075630673608e+03
2.499999999901453013e-03 6.741569399766595346e-14 1.912743367753461469e+06 5.121854096381549425e+03
2.499999999901457350e-03 6.821450009960933199e-14 3.321048613354935078e+05 8.902674431820401878e+03
2.499999999901457350e-03 6.905519606287709084e-14 1.199721747469915272e+03 9.749738351789867011e+03
2.499999999901466024e-03 7.209872607285331692e-14 5.260796994326315325e+04 9.419216310278343371e+03
2.499999999901463855e-03 7.213770870599365939e-14 1.270078252360846636e+04 9.525446062975019231e+03
2.499999999901472963e-03 7.546142053478671580e-14 1.359222179670756668e+04 9.331545003649387581e+03
2.499999999901475131e-03 7.621194125248366250e-14 6.231498004255825654e+05 7.693894932468588195e+03
2.499999999901508525e-03 8.941912599045308415e-14 2.448117413518788817e+04 8.636871011619874480e+03
2.499999999901508525e-03 9.008589008061514050e-14 8.905601963021583855e+06 4.258807531234282919e+02
2.499999999901508525e-03 9.012334278053492927e-14 2.733113532355798525e+05 7.966682765243001086e+03
2.499999999901528474e-03 9.661476722187581144e-14 3.129761677390941768e+05 7.624260599088227536e+03
2.499999999901528474e-03 9.807314543197008443e-14 2.693858522617647890e+06 2.858193748202226743e+03
2.499999999901534979e-03 1.004634860005570231e-13 1.502782148483632482e+05 7.901159644283240596e+03
2.499999999901541484e-03 1.020810316270373897e-13 2.600422081269401588e+03 8.222814943851259159e+03
2.499999999901544086e-03 1.038419304964091354e-13 2.671552885150617803e+05 7.497356627869990007e+03
2.499999999901544086e-03 1.043254687004822091e-13 2.913946752367426598e+03 8.148094351004496275e+03
2.499999999901559265e-03 1.089904785374542420e-13 4.453972945897570025e+04 7.896674608844481554e+03
2.499999999901559265e-03 1.098045694988766469e-13 2.121894273516634014e+06 3.449706314074219790e+03
2.499999999901561867e-03 1.107706686512727187e-13 1.152659226287080310e+04 7.927114600217760199e+03
2.499999999901577046e-03 1.163468207494631934e-13 6.643937685831468552e+06 5.692164146866127794e+02
2.499999999901601766e-03 1.257220122366038310e-13 9.375349544211281682e+03 7.532263463616480294e+03
2.499999999901599598e-03 1.260671024196173209e-13 6.600499729008950817e+04 7.383280261435495049e+03
2.499999999901608271e-03 1.290827587000872064e-13 7.271067792865388037e+04 7.295258422010453614e+03
2.499999999901621715e-03 1.346615566368831802e-13 3.250327729698526309e+04 7.268304279897934066e+03
2.499999999901670288e-03 1.537420200973418249e-13 3.151802555219185073e+06 1.644285704801946395e+03
2.499999999901670288e-03 1.544521821983388789e-13 2.478166748392595910e+05 6.359223832872030471e+03
2.499999999901688068e-03 1.616604074874029468e-13 2.363304032987272367e+06 2.351394384388865092e+03
2.499999999901703681e-03 1.667073840519151709e-13 5.424321772359618080e+03 6.732091510755101808e+03
2.499999999901712788e-03 1.711849696455421114e-13 3.095533988440723988e+03 6.666676126611715517e+03
2.499999999901717125e-03 1.728535541812340094e-13 1.895067646302317968e+06 2.855010220691838640e+03
2.499999999901719294e-03 1.733981053656236302e-13 3.608803489298371915e+03 6.631287202331235676e+03
2.499999999901730569e-03 1.776437272883553989e-13 6.161592395193417360e+03 6.561330728376111438e+03
2.499999999901730569e-03 1.784417835588424023e-13 5.707813372799878009e+06 5.079254038365913289e+02
2.499999999901741411e-03 1.832434940826382151e-13 4.105948606699978467e+06 9.109754682259471110e+02
2.499999999901768299e-03 1.929573610141219047e-13 6.742616082438941114e+06 3.419036444441076696e+02
2.499999999901788249e-03 2.004947810545356868e-13 1.851168601724625205e+03 6.261723715729847754e+03
2.499999999901788249e-03 2.019672413910622386e-13 9.596470794197730720e+06 1.635086879105480762e+02
2.499999999901792586e-03 2.035361135135548318e-13 7.994262996625192463e+06 2.321545430101031684e+02
2.499999999901801259e-03 2.061994280016943186e-13 1.686074521708547400e+04 6.156341362224541626e+03
2.499999999901803861e-03 2.081401937379340839e-13 1.872053342043838929e+06 2.544697166739213571e+03
2.499999999901821642e-03 2.149891062522801638e-13 1.355403582411857997e+03 6.090792269282113011e+03
2.499999999901823811e-03 2.159452520926303702e-13 4.161838728403419722e+06 7.645877721843480685e+02
2.499999999901856770e-03 2.291953383363738155e-13 2.154737327114135027e+06 2.028829074377638790e+03
2.499999999901874551e-03 2.358679666372469978e-13 1.997623443117471412e+06 2.169758972663232271e+03
2.499999999901883659e-03 2.398398769910996614e-13 2.471205738625567406e+06 1.637812931464449775e+03
2.499999999901887995e-03 2.415370179918379204e-13 5.997143531532017514e+06 3.403950089873453635e+02
2.499999999901907945e-03 2.492709480230527755e-13 4.790013149912090041e+06 5.107616674942697159e+02
2.499999999901994681e-03 2.840552984841525174e-13 1.900205210250417702e+06 1.998189314021128439e+03
2.499999999902010293e-03 2.903986516845659723e-13 1.694563947331175732e+05 5.015278771217555914e+03
2.499999999902036748e-03 2.999295060239879257e-13 2.066541612296267431e+03 5.328477029241219498e+03
2.499999999902034580e-03 3.003855520354397602e-13 3.853462149715971918e+03 5.321082348142131195e+03
2.499999999902067973e-03 3.131459135381728053e-13 1.079831552449810033e+03 5.238959894723154321e+03
2.499999999902092259e-03 3.228326736012006054e-13 8.201629388017467863e+04 4.989699029500688994e+03
2.499999999902107872e-03 3.298568562528753137e-13 1.705040812730673468e+06 2.011398099961636035e+03
2.499999999902176827e-03 3.566154230326794871e-13 5.626478709589813661e+04 4.844938619916321841e+03
2.499999999902205450e-03 3.689755600426892653e-13 4.544258061495543370e+04 4.801490544268248414e+03
2.499999999902267900e-03 3.931177901888753147e-13 5.449996512601751601e+04 4.656684966094661831e+03
2.499999999902314304e-03 4.111718575012820450e-13 1.447434833485021954e+03 4.690389375942818333e+03
2.499999999902345529e-03 4.240935804427299446e-13 3.176027042475487106e+06 6.452902505842549772e+02
2.499999999902354202e-03 4.278116756519329580e-13 4.664520227335557138e+04 4.512857315978187216e+03
2.499999999902354202e-03 4.282406629037800872e-13 2.852702947678928263e+06 7.743647372949242254e+02
2.499999999902356371e-03 4.287121580127277223e-13 4.769379469608095475e+06 2.871037355004833103e+02
2.499999999902512062e-03 4.906860302157513348e-13 9.299457203005861957e+05 2.519395771891727236e+03
2.499999999902578415e-03 5.179447413143085498e-13 6.382748297731226310e+06 1.222221937462576307e+02
2.499999999902705050e-03 5.685632639062869300e-13 5.848753997070209123e+06 1.314400156844426135e+02
2.499999999902729770e-03 5.782287575186814385e-13 6.513598771968839690e+06 1.010413018680986141e+02
2.499999999902751888e-03 5.863595367436895134e-13 1.391009533376810839e+06 1.602099084448114581e+03
2.499999999902751888e-03 5.867998543505932853e-13 6.008796480071351834e+04 3.921022122450036022e+03
2.499999999902758393e-03 5.897347934244662536e-13 1.550952680954785552e+06 1.413425872255698550e+03
2.499999999902774005e-03 5.954966107067369549e-13 1.008932497723168240e+03 4.027600168658872917e+03
2.499999999902789618e-03 6.025449842642508203e-13 1.595060297511539655e+06 1.342349943308330239e+03
2.499999999902800460e-03 6.054335475700368980e-13 3.950178621003535809e+05 3.163477459286956218e+03
2.499999999902820843e-03 6.137459525391313289e-13 9.137761784702646764e+03 3.959165799504717143e+03
2.499999999902855971e-03 6.291577043251321411e-13 1.720075608994390223e+03 3.934798931159167296e+03
2.499999999902876354e-03 6.355063725186651724e-13 1.046962610024152491e+04 3.898850315044689523e+03
2.499999999902931865e-03 6.584839102577501176e-13 3.119040298506214283e+06 4.142280113203774476e+02
2.499999999903022505e-03 6.952794695368518603e-13 1.529868972429023597e+04 3.743491165317419473e+03
2.499999999903049393e-03 7.051096750440204335e-13 9.297093821357830893e+04 3.551121225492782287e+03
2.499999999903144803e-03 7.441956339561512643e-13 6.677078097099120496e+05 2.339221621654397495e+03
2.499999999903260162e-03 7.900605011944493638e-13 1.110483521230150836e+04 3.555110845726483603e+03
2.499999999903400241e-03 8.462175160389094683e-13 1.104758042572294698e+03 3.474689613167825883e+03
2.499999999903411083e-03 8.503630482100607900e-13 3.465250793823523913e+06 2.461187425396726383e+02
2.499999999903453583e-03 8.675678360020661530e-13 9.964588903128377569e+04 3.223879641034077849e+03
2.499999999903595397e-03 9.240888854516260701e-13 6.867928068919997895e+04 3.199787281834238456e+03
2.499999999903622285e-03 9.346182905604363244e-13 1.088078140654427625e+04 3.309407966726718314e+03
2.499999999903624454e-03 9.361745246859729018e-13 1.858070445098332129e+03 3.326856204474298465e+03
2.499999999903704251e-03 9.670455794337764098e-13 1.949287505338526971e+05 2.869446545887858520e+03
2.499999999903844330e-03 1.023037546958696247e-12 1.663983574360235943e+05 2.851369093790905936e+03
2.499999999903953184e-03 1.067103606958250204e-12 6.133953526708643039e+04 3.016390769336820995e+03
2.499999999904010863e-03 1.089443079688361170e-12 4.187812157819994725e+06 1.170371240247424964e+02
2.499999999904168289e-03 1.153976803854418374e-12 8.722154663404391613e+05 1.465348069771524706e+03
2.499999999904266301e-03 1.191672832823612493e-12 4.519501544602865579e+03 2.993372054373255196e+03
2.499999999904308368e-03 1.209395344419696626e-12 1.318162408008458558e+06 9.143960318125040203e+02
2.499999999904357374e-03 1.228995348012321799e-12 1.969635246259507257e+06 4.828855941424295111e+02
2.499999999904501356e-03 1.285849576884447870e-12 5.360878851360603003e+05 1.858335575633058852e+03
2.499999999904639267e-03 1.340764630592291935e-12 8.560378195218481414e+04 2.670103786978172593e+03
2.499999999904637098e-03 1.341498033120430417e-12 1.188580683136368498e+04 2.827172420309836525e+03
2.499999999904665721e-03 1.352861840911464708e-12 1.012093672400263720e+06 1.125118897177168947e+03
